,Numero_finess,Médecins libéraux,Autres personnels médicaux libéraux,Médecins salariés,Autres personnels médicaux salariés,Personnels de direction et administratifs,Personnels des services de soins,Personnels éducatifs et sociaux,Personnels médico-techniques,Personnels techniques et ouvriers,Points_ISA,stjr,Internes,Personnel médical,Personnel médical si LIB=0.1,Personnel médical si LIB=0.9
0,010007300,4.5,3.0,0.0,0.0,2.25,4.2,,,,3785.96,2,0.0,7.5,1.5,13.5
1,010008407,0.0,0.0,18.49,14.33,21.19666666666667,97.32333333333332,0.8466666666666667,9.206666666666665,26.44,165054.79833333334,1,0.0,32.82,32.82,32.82
2,010009132,0.0,0.0,1.795,0.07,4.175,46.7,1.065,1.13,13.465,5715.17,1,0.0,1.865,1.865,1.865
3,010780054,4.5,1.0,102.59999999999998,44.529999999999994,118.605,388.59,4.93,107.66,112.63,787929.0683333338,1,195.09,152.62999999999997,148.23,157.02999999999997
4,010780062,0.0,0.0,19.450000000000003,10.1,58.45,336.54,5.45,29.32,57.57,188174.94999999995,1,6.449999999999999,29.550000000000004,29.550000000000004,29.550000000000004
5,010780096,0.0,0.0,10.259999999999998,1.885,9.685,88.475,2.555,2.5700000000000003,5.96,90756.54333333332,1,3.48,12.144999999999998,12.144999999999998,12.144999999999998
6,010780195,31.0,17.0,0.0,2.0,32.37,217.55,0.6,7.31,8.3,179271.0266666667,2,0.0,50.0,11.6,88.4
7,010780203,8.5,13.0,1.88,1.81,35.36,143.73,,4.2,6.12,122463.4516666667,2,0.0,25.189999999999998,7.99,42.39
8,020000022,0.0,0.0,3.79,2.1,19.79,151.08,2.22,4.95,21.09,29670.455,1,1.08,5.890000000000001,5.890000000000001,5.890000000000001
9,020000048,0.0,0.0,4.8,3.0,13.0,103.84,3.0,2.0,17.22,20978.50333333333,1,0.0,7.8,7.8,7.8
10,020000055,0.5,2.5,2.31,0.12,11.27,48.67,0.9,,17.79,9384.483333333334,1,0.0,5.430000000000001,3.0300000000000002,7.83
11,020000063,0.0,0.0,115.78333333333335,58.08999999999999,122.215,426.17333333333335,7.425,107.9,142.95000000000002,867100.5833333336,1,188.0,173.87333333333333,173.87333333333333,173.87333333333333
12,020000071,0.0,0.0,2.6,0.49,9.74,60.45,0.9,1.14,17.08,21866.56333333333,1,0.0,3.09,3.09,3.09
13,020000253,0.0,0.0,57.97666666666666,31.919999999999998,42.849999999999994,214.13666666666668,3.235,37.75,53.79,321834.7500000001,1,52.565,89.89666666666666,89.89666666666666,89.89666666666666
14,020000261,0.5,1.0,80.14999999999999,41.37,75.86,405.545,5.28,56.71,76.88000000000001,533474.6433333334,1,60.0,123.01999999999998,121.82,124.22
15,020000287,4.0,1.5,28.540000000000006,12.42,88.96,377.56,1.92,25.25,81.55,214131.4633333333,1,29.28,46.46000000000001,42.06000000000001,50.860000000000014
16,020000360,7.5,9.0,0.0,1.0,15.91,25.8,,2.0,2.0,37075.52000000001,2,0.0,17.5,4.3,30.7
17,020004404,6.5,1.5,47.97,24.74,81.79,397.55,2.2,42.07,82.44,373304.29000000015,1,27.81,80.71,74.30999999999999,87.11
18,020004495,0.0,0.0,16.78,3.58,39.45,126.72,1.5,11.7,31.77,80819.44833333332,1,1.9,20.36,20.36,20.36
19,020010047,19.0,13.0,1.0,1.8,28.7,204.62,1.0,5.4,6.0,131261.38166666665,2,0.0,34.8,9.200000000000001,60.39999999999999
20,030002158,3.0,0.0,4.325,1.04,13.585,61.004999999999995,4.2,2.0,19.34,3026.32,1,0.0,8.365,5.965,10.765
21,030780092,0.5,0.0,81.47999999999999,45.900000000000006,207.74,1290.86,24.93,76.17,226.11,554335.0883333331,1,149.18999999999997,127.88,127.47999999999999,128.28
22,030780100,3.5,0.5,69.80999999999999,32.06999999999999,67.37,461.79999999999995,8.905,32.865,102.78,660669.3733333332,1,91.5,105.87999999999998,102.67999999999998,109.07999999999998
23,030780118,2.5,1.0,94.58,45.15,183.42,1173.78,29.12,73.88,206.63,695522.1483333335,1,153.78,143.23,140.43,146.03
24,030780548,16.5,11.5,4.890000000000001,1.1,21.44,145.48,1.0,7.22,3.41,59243.47499999999,2,0.0,33.99,11.590000000000002,56.39000000000001
25,030781116,20.0,9.5,2.7,2.0,39.31,281.93,1.5,9.3,10.5,151690.11166666666,2,3.0,34.2,10.6,57.8
