,Numero_finess,stjr,Points_ISA,Personnel médical,Internes,Personnels de direction et administratifs,Personnels techniques et ouvriers,Autre sans internes,Autre sans direction et administratif,Autre sans techniques et ouvriers
0,010007300,2,3785.96,7.5,0.0,2.25,,,,
1,010008407,1,165054.79833333334,32.82,0.0,21.19666666666667,26.44,57.69,36.49333333333333,31.25
2,010009132,1,5715.17,1.865,0.0,4.175,13.465,19.835,15.66,6.37
3,010780054,1,787929.0683333338,152.62999999999997,195.09,118.605,112.63,343.825,420.31,426.28499999999997
4,010780062,1,188174.94999999995,29.550000000000004,6.449999999999999,58.45,57.57,150.79,98.79,99.67
5,010780096,1,90756.54333333332,12.144999999999998,3.48,9.685,5.96,20.77,14.565000000000001,18.29
6,010780195,2,179271.0266666667,50.0,0.0,32.37,8.3,48.58,16.21,40.28
7,010780203,2,122463.4516666667,25.189999999999998,0.0,35.36,6.12,,,
8,020000022,1,29670.455,5.890000000000001,1.08,19.79,21.09,48.05,29.339999999999996,28.04
9,020000048,1,20978.50333333333,7.8,0.0,13.0,17.22,35.22,22.22,18.0
10,020000055,1,9384.483333333334,5.430000000000001,0.0,11.27,17.79,,,
11,020000063,1,867100.5833333336,173.87333333333333,188.0,122.215,142.95000000000002,380.49,446.27500000000003,425.54
12,020000071,1,21866.56333333333,3.09,0.0,9.74,17.08,28.86,19.119999999999997,11.780000000000001
13,020000253,1,321834.7500000001,89.89666666666666,52.565,42.849999999999994,53.79,137.625,147.34,136.39999999999998
14,020000261,1,533474.6433333334,123.01999999999998,60.0,75.86,76.88000000000001,214.73000000000002,198.87,197.85
15,020000287,1,214131.4633333333,46.46000000000001,29.28,88.96,81.55,197.68,138.0,145.41
16,020000360,2,37075.52000000001,17.5,0.0,15.91,2.0,,,
17,020004404,1,373304.29000000015,80.71,27.81,81.79,82.44,208.5,154.52,153.87
18,020004495,1,80819.44833333332,20.36,1.9,39.45,31.77,84.42,46.87,54.550000000000004
19,020010047,2,131261.38166666665,34.8,0.0,28.7,6.0,41.1,12.4,35.1
20,030002158,1,3026.32,8.365,0.0,13.585,19.34,39.125,25.54,19.785
21,030780092,1,554335.0883333331,127.88,149.18999999999997,207.74,226.11,534.95,476.4,458.03
22,030780100,1,660669.3733333332,105.87999999999998,91.5,67.37,102.78,211.92000000000002,236.05,200.64000000000001
23,030780118,1,695522.1483333335,143.23,153.78,183.42,206.63,493.04999999999995,463.40999999999997,440.19999999999993
24,030780548,2,59243.47499999999,33.99,0.0,21.44,3.41,33.07,11.629999999999999,29.66
25,030781116,2,151690.11166666666,34.2,3.0,39.31,10.5,60.61,24.3,53.11
26,030785430,2,71391.25666666668,20.33,0.0,18.8,3.0,26.5,7.7,23.5
27,040780215,1,387374.07833333313,58.739999999999995,30.39,73.14,48.65,141.81,99.06,123.55000000000001
28,040780470,2,35399.8,12.3,0.0,11.4,1.5,,,
29,040788879,1,220842.3583333333,80.53,16.35,106.79,114.84,267.87,177.43,169.38
30,050000090,2,74587.72500000002,26.0,0.0,19.2,2.9,,,
31,050000116,1,146930.19333333333,83.91,14.73,64.11,57.84,159.78,110.4,116.67
32,050000124,1,13249.633333333331,10.729999999999999,11.16,29.17,43.91,81.1,63.08999999999999,48.349999999999994
33,050002948,1,621213.7833333332,100.75,31.905000000000005,91.34,87.425,232.35500000000002,172.92,176.835
34,060000528,3,356892.0300000001,91.13000000000001,92.01,145.96,39.34,354.97,301.02,407.64
35,060021417,2,109695.82,50.3,0.0,34.61,5.13,,,
36,060780442,2,22842.380000000005,32.0,0.0,17.0,7.0,28.0,11.0,21.0
37,060780491,3,372410.4350000002,65.17,0.0,36.71,5.25,48.75,12.04,43.5
