finess;ghm2;_freq
010006526;90Z00Z;223
010007300;02C05J;813
010007300;02C08J;87
010007300;06K02Z;169
010007300;06K04J;663
010007300;06K05J;63
010007300;09C03J;121
010007300;09C09J;22
010007300;09C10J;52
010007300;90Z00Z;361
010007987;20Z041;244
010007987;20Z042;81
010007987;23K02Z;42
010007987;23Z02Z;164
010008407;01C15J;198
010008407;01M201;97
010008407;01M221;36
010008407;01M25T;25
010008407;01M34Z;54
010008407;02C05J;319
010008407;03K02J;95
010008407;03M031;83
010008407;03M03T;32
010008407;03M05T;21
010008407;04M021;43
010008407;04M041;21
010008407;04M051;48
010008407;04M052;43
010008407;04M053;27
010008407;04M111;40
010008407;04M181;47
010008407;04M182;29
010008407;04M18T;34
010008407;04M201;23
010008407;04M202;27
010008407;05C17J;71
010008407;05M04T;63
010008407;05M05T;41
010008407;05M08T;47
010008407;05M092;59
010008407;05M093;34
010008407;05M09T;21
010008407;05M13T;124
010008407;06C121;26
010008407;06C12J;82
010008407;06K02Z;208
010008407;06K04J;424
010008407;06M021;120
010008407;06M031;62
010008407;06M032;30
010008407;06M03T;27
010008407;06M121;45
010008407;06M12T;91
010008407;06M18T;20
010008407;06M18Z;64
010008407;07C131;46
010008407;07C14J;41
010008407;08C14J;87
010008407;08C241;62
010008407;08C242;23
010008407;08C321;30
010008407;08C371;39
010008407;08C391;59
010008407;08C44J;96
010008407;08C45J;142
010008407;08C46J;55
010008407;08C481;36
010008407;08C493;24
010008407;08K02J;27
010008407;08M36Z;27
010008407;09C081;35
010008407;09C10J;23
010008407;09K02J;24
010008407;09M031;42
010008407;10M163;21
010008407;11M02T;44
010008407;11M031;30
010008407;11M041;30
010008407;11M043;20
010008407;11M044;20
010008407;12C08J;32
010008407;14C05J;33
010008407;14C08A;119
010008407;14M03A;34
010008407;14Z04T;28
010008407;14Z08Z;91
010008407;14Z13A;148
010008407;14Z13B;31
010008407;14Z14A;304
010008407;14Z14B;31
010008407;14Z16T;29
010008407;15M05A;477
010008407;15M05B;114
010008407;15M06A;22
010008407;16M111;20
010008407;16M112;28
010008407;16M11T;25
010008407;18M021;25
010008407;20Z041;21
010008407;20Z051;55
010008407;21M10T;41
010008407;23M14Z;90
010008407;23M20T;63
010008407;23M20Z;81
010008407;23Z02Z;43
010008407;28Z14Z;72
010008407;28Z17Z;25
010009132;01M34Z;21
010009132;23M20Z;20
010780054;01C061;34
010780054;01C15J;254
010780054;01K04J;160
010780054;01M111;34
010780054;01M112;51
010780054;01M11T;26
010780054;01M161;33
010780054;01M162;31
010780054;01M16T;24
010780054;01M191;33
010780054;01M201;184
010780054;01M21T;875
010780054;01M221;96
010780054;01M231;35
010780054;01M251;28
010780054;01M252;43
010780054;01M25T;81
010780054;01M262;22
010780054;01M263;22
010780054;01M301;139
010780054;01M302;152
010780054;01M303;137
010780054;01M304;21
010780054;01M30T;28
010780054;01M34T;22
010780054;01M34Z;166
010780054;01M35T;35
010780054;01M35Z;54
010780054;02C051;30
010780054;02C05J;199
010780054;02M041;24
010780054;03C09J;23
010780054;03C14J;29
010780054;03C28J;42
010780054;03K02J;264
010780054;03M031;43
010780054;03M03T;125
010780054;03M051;37
010780054;03M052;22
010780054;03M05T;84
010780054;03M131;26
010780054;04M021;31
010780054;04M02T;21
010780054;04M032;29
010780054;04M033;48
010780054;04M03T;35
010780054;04M041;31
010780054;04M051;73
010780054;04M052;157
010780054;04M053;107
010780054;04M054;26
010780054;04M05T;41
